"","Name","WAR","RAA.off","RAA.pitch","RAA.field","RAA.br"
"603","Coleman, C",-0.02,0,-0.18,-0.03,0
"583","Luetge",-0.02,0,-0.27,0.05,0
"71","Buck",-0.02,-0.42,0,0.2,0.17
"612","Outman",-0.02,0,-1.1,0.88,0
"1003","Matzek",-0.02,0.19,-0.68,0.25,-0.05
"1052","Erlin",-0.02,0.16,-0.19,-0.22,-0.3
"858","Collins",-0.03,0,-0.39,0.1,0
"50","Chavez, En",-0.03,-2.2,0,1.89,-0.91
"825","Romine, A",-0.03,-0.3,0,-0.01,0
"31","Downs, S",-0.03,0,0.13,-0.45,0
"1124","Maness",-0.03,0.44,-0.83,0.06,0.04
"238","Quintanilla",-0.03,-0.82,0,0.49,-0.55
"131","Molina, Y",-0.04,-0.51,0,0.16,1.04
"857","Montero, J",-0.04,-0.38,0,0.02,0.05
"934","Martin, E",-0.04,0,-0.38,0.02,0
"515","Francisco, J",-0.04,2.9,0,-3.27,-0.86
"1104","Walker, T",-0.04,0,-0.33,-0.05,0
"200","Soto, G",-0.04,-0.26,0,-0.12,-0.13
"477","Mayberry",-0.04,1.97,0,-2.35,-0.01
"1113","Duvall",-0.04,0.71,0,-1.1,0.25
"903","Flynn",-0.04,-0.09,-0.27,-0.05,0
"558","Anderson, B",-0.04,0.11,-0.24,-0.31,-0.01
"733","Amarista",-0.04,-0.69,0,0.25,1.2
"500","Patton",-0.04,0,0.01,-0.45,0
"307","Henderson",-0.04,0,-0.66,0.22,0
"591","Salas",-0.04,0,-0.63,0.18,0
"1106","Martinez, C",-0.05,1.35,-2.91,1.1,0
"351","Evans, N",-0.05,-0.42,0,-0.04,-1.05
"957","Semien",-0.05,1.13,0,-1.61,0.08
"334","De La Rosa, D",-0.05,0,-0.89,0.41,0
"283","Rice",-0.05,0,-0.7,0.2,0
"148","Bartlett",-0.05,0.06,0,-0.57,0.4
"455","Lindblom",-0.05,0,-0.46,-0.04,0
"552","Dyson, S",-0.05,-0.09,-0.19,-0.23,0
"247","Rondon, H",-0.05,0,-0.84,0.33,0
"1055","Belnome",-0.05,-0.52,0,0,0
"559","Tolleson",-0.05,0,-0.82,0.3,0
"760","Beavan",-0.05,0,-0.64,0.1,0
"980","De La Rosa, E",-0.05,0,-0.6,0.06,0
"610","Moore, T",-0.05,-1.36,0,0.81,-0.07
"1120","Treinen",-0.06,-0.45,0.06,-0.17,0.04
"470","LeCure",-0.06,0,-0.14,-0.42,0
"1160","Guerrero",-0.06,-0.57,0,0,0
"270","Axford",-0.06,0,-0.54,-0.03,0
"1138","Smith, C",-0.06,0,-0.53,-0.05,0
"981","Bauer",-0.06,-0.16,-0.52,0.1,0
"1097","Riefenhauser",-0.06,0,-0.57,-0.02,0
"461","Parnell",-0.06,0,-0.61,-0.02,0
"841","Wheeler",-0.06,-0.09,0,-0.55,-0.03
"954","Sands",-0.06,-0.63,0,0,-0.23
"815","Parrino",-0.07,0.37,0,-1.03,0.25
"570","Flaherty",-0.07,-2.85,0,2.2,-3.32
"690","Colvin",-0.07,-0.91,0,0.25,1.9
"113","Baker, Je",-0.07,-0.47,0,-0.19,1.52
"765","Centeno",-0.07,-0.65,0,-0.06,-0.49
"581","Mazzaro",-0.07,-0.09,-0.5,-0.12,0
"375","Morrow",-0.07,0.08,-0.73,-0.08,0
"785","Gindl",-0.07,-0.85,0,0.11,-0.1
"897","Decker",-0.08,-0.8,0,0.05,0
"810","Navarro, E",-0.08,-0.74,0,-0.02,-1
"987","Harper",-0.08,0.07,0,-0.84,1.9
"220","Rowland-Smith",-0.08,-0.19,-0.5,-0.08,0
"363","Johnson, K",-0.08,-0.23,-0.62,0.08,0
"409","Feierabend",-0.08,0,-0.57,-0.21,0
"852","Kelly, J",-0.08,-0.19,-0.76,0.16,-0.05
"14","Chen, B",-0.08,0,-0.9,0.11,0
"178","Hill, A",-0.08,-4.77,0,3.92,2.29
"818","Poreda",-0.09,0,-0.32,-0.54,0
"840","West",-0.09,0,-0.81,-0.05,0
"782","Fryer",-0.09,-0.81,0,-0.06,-0.45
"660","Almonte, Z",-0.09,-1.94,0,1.06,0
"333","Fields",-0.09,0,-0.59,-0.29,0
"367","Boesch",-0.09,-1.47,0,0.58,-0.08
"1008","Sanchez, C",-0.09,-0.99,0,0.11,0
"48","Scutaro",-0.09,-0.68,0,-0.22,0.17
"167","Izturis, M",-0.09,-0.56,0,-0.34,0.02
"943","Pastornicky",-0.09,-0.49,0,-0.41,-1.16
"798","LeMahieu",-0.09,-2.29,0,1.38,-4.09
"468","Ambriz",-0.09,0,-0.89,-0.03,0
"212","Davis, R",-0.09,3.16,0,-4.08,0.97
"906","Giavotella",-0.09,-1.13,0,0.21,0.51
"885","Beeler",-0.09,-0.42,-0.59,0.07,-0.01
"936","McHugh",-0.1,0,-1.05,0.08,0
"1063","Goebbert",-0.1,-0.85,0,-0.12,1.13
"185","Blanco",-0.1,-0.68,0,-0.29,0.02
"616","Rosales",-0.1,-0.46,0,-0.52,-0.22
"739","Triunfel",-0.1,-0.95,0,-0.03,0.09
"849","Hendriks",-0.1,0,-0.88,-0.1,0
"438","Morris, B",-0.1,-0.02,-1.7,0.72,0
"863","Schlosser",-0.1,0.41,-1.38,-0.02,0.02
"988","Lee",-0.1,0,-1.29,0.27,0
"1072","Rosscup",-0.1,0,-0.99,-0.05,0
"1066","Hassan",-0.11,-0.95,0,-0.1,0.24
"521","Deduno",-0.11,-0.24,-0.42,-0.41,0
"788","Hague",-0.11,-1.09,0,0,0
"1103","Thornburg",-0.11,0.18,-1.6,0.31,0.02
"490","Russell",-0.11,0,-1.06,-0.05,0
"888","Butler, Jy",-0.11,-1.04,0,-0.07,0.03
"261","Dunn, M",-0.11,0,-0.52,-0.59,0
"514","Pino",-0.11,0,-1.24,0.1,0
"109","Hill, K",-0.11,-1,0,-0.14,-0.61
"748","Marte, S",-0.12,1.55,0,-2.71,3.32
"528","Sandoval",-0.12,-0.03,0,-1.14,-1.97
"471","Ramos, C",-0.12,-0.02,-1.07,-0.09,0
"110","Wilson, Jo",-0.12,-3.27,0,2.1,0.73
"676","Claiborne",-0.12,0.19,-1.48,0.1,0
"184","Young, Cr",-0.12,0.04,-1.25,0.02,0
"708","Pestano",-0.12,0,-1.23,0.03,0
"1146","Rucinski",-0.12,0,-1.18,-0.02,0
"1148","Knebel",-0.12,0,-1.38,0.16,0
"519","Bernadina",-0.12,-1.03,0,-0.18,0.5
"847","Baez, P",-0.12,0,-1.21,-0.02,0
"473","Teagarden",-0.12,-1.08,0,-0.16,-0.25
"625","Sucre",-0.13,-1.2,0,-0.06,-0.11
"453","Danks, Jd",-0.13,-2.64,0,1.38,0.52
"576","Marks",-0.13,0,-1.25,-0.03,0
"835","Souza Jr.",-0.13,-1.2,0,-0.1,0.03
"1110","Buchanan, J",-0.13,0,-1.24,-0.06,0
"395","Solis",-0.13,-1.18,0,-0.15,0
"221","Quentin",-0.13,-2.01,0,0.67,0.81
"677","Jeffress",-0.14,0,-0.82,-0.55,0
"1004","Jenkins",-0.14,0,-1.59,0.21,0
"264","Jansen",-0.14,0,-1.31,-0.09,0
"161","McGowan",-0.14,-0.13,-1.22,-0.06,0
"292","Ishikawa",-0.14,-2.28,0,0.87,0.02
"274","Detwiler",-0.14,0.33,-1.92,0.18,0.07
"1065","Greenwood",-0.14,-0.5,-0.89,-0.02,0
"121","Choo",-0.14,4.94,0,-6.37,2.2
"881","Germen",-0.14,-0.09,-1.37,0.03,0
"226","Napoli",-0.14,0.02,0,-1.45,-5.3
"1038","Myers",-0.14,-3.07,0,1.63,2.32
"1061","Dunning",-0.15,0,-1.46,0,0
"1088","Holaday",-0.15,-1.99,0,0.46,-1.06
"97","Santiago, R",-0.16,-0.81,0,-0.74,-0.49
"904","Fornataro",-0.16,0,-1.89,0.33,0
"913","Guilmet",-0.16,0,-1.45,-0.11,0
"1013","Altherr",-0.16,-1.67,0,0.1,0
"481","Butera",-0.16,-1.04,-1.58,1.04,1.17
"56","Olivo",-0.16,-1.62,0,0.03,-0.3
"442","Weeks, J",-0.16,-1.55,0,-0.06,-0.44
"443","Bruce",-0.16,-2.76,0,1.15,1.81
"1093","Parker, K",-0.16,-1.44,0,-0.21,-0.04
"98","Harang",-0.17,-7.03,5.95,-0.58,0.05
"354","Brown, B",-0.17,0,-1.67,0.01,0
"604","Cruz, T",-0.17,-2.39,0,0.72,-1.25
"1081","Bedrosian",-0.17,0,-1.68,0.01,0
"209","Lindstrom",-0.17,0,-1.69,0.02,0
"704","Reddick",-0.17,-2.62,0,0.93,0.67
"429","Pacheco",-0.17,-1.89,0,0.2,-1.54
"18","Farnsworth",-0.17,0,-1.61,-0.1,0
"195","Buckner",-0.17,0.04,-1.74,-0.02,0
"1017","Brothers",-0.17,0,-1.48,-0.25,0
"294","Hill, R",-0.17,0,-1.74,0,0
"298","Shields",-0.17,0.69,-2.08,-0.36,0.37
"1073","Ruf",-0.18,-1.37,0,-0.41,-0.01
"1067","Irwin",-0.18,0,-1.73,-0.05,0
"263","McCutchen",-0.18,0,-1.76,-0.03,0
"628","Martinez, M",-0.18,-1.54,0,-0.27,0.02
"132","Navarro, D",-0.18,-2.7,0,0.89,-4.13
"28","Bloomquist",-0.18,-1.8,0,-0.03,-1.62
"503","Swarzak",-0.18,0,-1.48,-0.35,0
"917","Hendricks",-0.18,-0.28,-1.72,0.16,-0.04
"820","Rasmussen",-0.19,0,-1.95,0.06,0
"712","Heisey",-0.19,-5.02,0,3.12,1.63
"5","Hunter, To",-0.19,-1.95,0,0.04,-0.57
"929","Lavarnway",-0.19,-2.28,0,0.37,0
"151","Cedeno, R",-0.19,-2.26,0,0.33,-0.01
"202","Morse",-0.19,-1.56,0,-0.36,-1.62
"962","Spruill",-0.19,-0.34,-1.6,0,0
"1137","Panik",-0.2,-3.82,0,1.85,0.22
"290","Delabar",-0.2,0,-2.28,0.31,0
"368","LeBlanc",-0.2,0,-1.94,-0.05,0
"1119","Sadler",-0.2,0,-1.92,-0.1,0
"973","Lutz, D",-0.2,-1.99,0,-0.03,0.57
"347","Hanigan",-0.2,-1.99,0,-0.05,-0.98
"365","Veal",-0.2,0,-2,-0.04,0
"188","Francis",-0.21,0.08,-1.75,-0.4,0
"1082","Casali",-0.21,-2.03,0,-0.05,-0.11
"878","Aguilar",-0.21,-2.64,0,0.55,-0.07
"133","Fielder",-0.21,-3.24,0,1.15,0.01
"893","Cosart",-0.21,-0.13,-2.6,0.63,0
"198","Jones, G",-0.21,-6.18,0,4.04,0.24
"40","Furcal",-0.21,-0.02,0,-2.12,1.25
"692","Stinson",-0.21,0,-2.2,0.05,0
"1030","Hutchison",-0.22,0.69,-1.71,-1.14,-0.13
"33","Grilli",-0.22,0,-1.74,-0.43,0
"566","Van Slyke",-0.22,-1.24,0,-0.94,-2.36
"678","Wood, Bl",-0.22,0,-2.31,0.11,0
"827","Rupp",-0.22,-2.95,0,0.75,0.29
"984","Marisnick",-0.22,-4.52,0,2.31,1.12
"578","Tolleson",-0.22,-3.1,0.07,0.81,-2.86
"1151","Chen, W",-0.22,-0.13,-2.28,0.2,0
"1143","Collins",-0.22,-2.75,0,0.54,-0.24
"910","Gose",-0.22,-5.56,0,3.33,-0.4
"862","Shoemaker",-0.23,-0.07,-1.86,-0.31,0
"1006","Santana, D",-0.23,-1.47,0,-0.79,0.32
"755","Paredes",-0.23,-1.33,0,-0.93,0.2
"746","Mejia, J",-0.23,-3.07,0.92,-0.11,0
"719","Miller, J",-0.23,0,-2.38,0.12,0
"1096","Reed, A",-0.23,0,-0.88,-1.4,0
"384","Burton",-0.23,0,-2.53,0.24,0
"540","Rodriguez, H",-0.23,0,-2.27,-0.02,0
"644","Solarte",-0.23,2.89,0,-5.19,0.5
"104","Doumit",-0.23,-2.04,0,-0.26,0.14
"289","Valdes",-0.23,0,-2.34,0.03,0
"51","Balfour",-0.23,0,-2.82,0.5,0
"1144","Pillar",-0.23,-3.38,0,1.05,-1.38
"546","Figueroa, P",-0.24,0,-2.28,-0.12,0
"68","Thornton",-0.24,0,-2.54,0.13,0
"664","Billings",-0.24,0,-2.39,-0.02,0
"686","Chapman, K",-0.24,0,-2.19,-0.23,0
"882","Adams",-0.24,0,-2.39,-0.03,0
"663","Hatcher",-0.24,-0.02,-1.91,-0.5,0
"177","Snyder, B",-0.24,-1.62,0,-0.82,-0.32
"657","Cabral",-0.24,0,-2.33,-0.12,0
"698","Clevenger",-0.24,-2.13,0,-0.32,-1.17
"291","Parra, M",-0.25,0,-1.87,-0.63,0
"516","Cervelli",-0.25,-2.54,0,0.02,-1.43
"130","Camp",-0.25,0,-2.48,-0.05,0
"793","Jordan",-0.25,-1.66,-0.43,-0.44,0
"310","Corporan",-0.25,-1.85,0,-0.68,-1.61
"144","DeJesus",-0.25,-0.92,0,-1.63,2.23
"467","Grube",-0.26,0,-2.55,-0.01,0
"396","Stewart, C",-0.26,-1.99,0,-0.56,0.55
"696","Owens",-0.26,0,-2.52,-0.05,0
"537","Herrera, J",-0.26,-1.38,0,-1.19,0.42
"1002","Wheeler, Z",-0.26,0.13,-2.29,-0.43,-0.59
"595","Baxter",-0.26,-3.76,0,1.15,0.16
"757","Salazar",-0.26,-0.04,-2.36,-0.21,0
"143","Weeks, R",-0.26,2.38,0,-5.01,1.63
"432","Bell, T",-0.27,0,-2.63,-0.02,0
"868","Garcia, A",-0.27,-0.85,0,-1.83,0.12
"675","Latos",-0.27,-1.89,-0.7,-0.09,-0.06
"271","Ondrusek",-0.27,-0.43,-2.46,0.21,0
"1129","Ahmed",-0.27,-2.66,0,-0.03,-0.47
"703","Green, G",-0.27,-1.62,0,-1.08,-0.8
"713","Santiago, H",-0.27,0.27,-2.62,-0.37,0
"84","Laird",-0.27,-2.7,0,-0.01,1.34
"740","Ortega, J",-0.27,0,-2.7,-0.01,0
"315","Lowe, M",-0.27,0,-1.49,-1.23,0
"648","Escobar, E",-0.27,-1.65,0,-1.07,-1.37
"1015","Barnhart",-0.27,-3.24,0,0.52,-0.05
"669","Tillman",-0.27,-0.58,-2.67,0.51,-0.44
"1102","Stites",-0.28,0,-3.04,0.28,0
"422","Logan",-0.28,0,-2.36,-0.41,0
"357","Lincoln",-0.28,0,-2.74,-0.04,0
"937","Miller, B",-0.28,-3.08,0,0.29,1.42
"844","Worth",-0.28,-2.51,0.05,-0.33,-2.04
"34","Gregg",-0.28,0,-2.77,-0.03,0
"364","Manship",-0.28,-0.22,-2.24,-0.35,0
"1023","Hale",-0.29,-0.51,-2.63,0.27,0.47
"908","Glenn",-0.29,-2.55,0,-0.31,0.13
"821","Reed, E",-0.29,0,-1.94,-0.93,0
"892","Cole",-0.29,-0.84,-2.9,0.81,0.06
"26","McDonald, Jo",-0.29,-6.43,0,3.5,-0.25
"891","Christiani",-0.29,-0.09,-2.57,-0.28,0
"843","Workman",-0.3,0,-2.93,-0.03,0
"875","Ramirez, J",-0.3,0,-2.88,-0.09,0
"85","Mauer",-0.3,-2.76,0,-0.23,3.16
"869","Bethancourt",-0.3,-2.82,0,-0.2,-0.36
"476","Getz",-0.3,-2.69,0,-0.33,0.06
"944","Perez, J",-0.3,-4.36,0,1.31,0.67
"295","Gwynn Jr.",-0.31,-4.59,0,1.52,-1.61
"339","Drew",-0.31,-2.46,0,-0.61,-0.66
"879","Cisnero",-0.31,0,-3.02,-0.07,0
"723","Anderson, C",-0.31,-0.55,-2.99,0.46,-0.45
"204","Nix, J",-0.31,-3.94,0,0.83,-1.2
"811","Nelson",-0.31,-0.47,-2.49,-0.17,0
"956","Scahill",-0.31,0,-3.17,0.03,0
"889","Campana",-0.31,-2.4,0,-0.75,1.66
"483","Leroux",-0.32,0,-3.12,-0.03,0
"192","Granderson",-0.32,-0.3,0,-2.87,-0.6
"902","Fife",-0.32,-0.12,-3.14,0.08,0
"651","Marte, Al",-0.32,-2.55,0,-0.63,-0.22
"659","Almonte, A",-0.32,-3.56,0,0.35,0.12
"262","Kintzler",-0.33,0,-4.17,0.92,0
"1056","Butler",-0.33,-0.44,-2.9,0.08,0
"224","Santos, S",-0.33,0,-3.25,-0.01,0
"792","Jones, N",-0.33,0,-3.25,-0.01,0
"162","Hairston, S",-0.33,-2.02,0,-1.25,-0.01
"381","Ryan",-0.33,-3.42,0,0.11,-0.41
"643","Jimenez, L",-0.33,-3.65,0,0.32,0.38
"953","Rusin",-0.34,0.02,-3.4,0,0
"967","Vincent",-0.34,0,-3.52,0.13,0
"117","Lopez, Jav",-0.34,0,-3.63,0.23,0
"1117","Gonzales",-0.34,0.72,-4.17,0.04,0.05
"203","Jimenez, U",-0.34,0,-3.47,0.06,0
"232","Motte",-0.34,0,-3.1,-0.32,0
"859","Flores, W",-0.34,-4.78,0,1.36,0.33
"890","Chatwood",-0.34,0.44,-3.76,-0.11,0
"214","Oviedo",-0.34,0,-2.93,-0.51,0
"81","Teixeira",-0.35,-6.27,0,2.82,-1.74
"1011","Taveras, O",-0.35,-4.75,0,1.29,0.01
"165","Germano",-0.35,0,-3.37,-0.1,0
"982","Franklin",-0.35,-4.76,0,1.28,0.16
"207","Baker, Jo",-0.35,-2.55,0,-0.94,-0.56
"743","Hernandez, Ce",-0.35,-2.25,0,-1.24,-0.61
"909","Gomes, Y",-0.35,-2.05,0,-1.46,-2.23
"1053","Goins",-0.35,-4.26,0,0.74,-0.89
"206","Whiteside",-0.35,-3.4,0,-0.13,-0.02
"1031","Jones, J",-0.35,-4.02,0,0.47,4.03
"577","Wall",-0.36,0,-3.53,-0.02,0
"620","Thole",-0.36,-4.35,0,0.79,-2.5
"499","Miller, Ji",-0.36,0,-3.55,-0.02,0
"592","Avila",-0.36,-3.37,0,-0.25,-6.13
"543","Johnson, E",-0.36,-2.65,0,-0.97,-0.05
"538","Chacin",-0.37,1.25,-4.95,0.04,-0.51
"614","Recker",-0.37,-3.87,0,0.22,1.6
"806","Middlebrooks",-0.37,-3.87,0,0.22,-1.75
"729","Gonzalez, M",-0.37,-1.7,0,-1.98,0.46
"215","Masset",-0.37,0,-3.44,-0.25,0
"359","Perez, C",-0.37,0.04,-3.86,0.12,0
"955","Satin",-0.37,-3.91,0,0.2,-0.3
"431","Jackson, A",-0.37,-0.47,0,-3.24,0.55
"152","Kelly, D",-0.37,-4.79,0,1.06,-1.59
"186","Danks, Jh",-0.37,0.05,-3.89,0.1,0
"155","Hart",-0.38,-3.29,0,-0.48,0.28
"799","Lough",-0.38,-5.42,0,1.65,0.9
"838","Tepesch",-0.38,0,-3.96,0.17,0
"853","Kieschnick",-0.38,-2.95,0,-0.84,-0.46
"716","Diaz, J",-0.38,-4.65,0,0.86,-0.08
"854","Medica",-0.38,-2.41,0,-1.38,1.03
"997","Joseph, D",-0.38,0,-3.79,-0.01,0
"213","McLouth",-0.39,-6.23,0,2.38,-0.55
"959","Shuck",-0.39,-4.98,0,1.11,0.51
"752","Sanchez, H",-0.39,-3.9,0,0.02,0.16
"609","Miley",-0.39,-0.56,-2.46,-0.87,-1.01
"199","Ruiz",-0.39,-4.76,0,0.85,-3.13
"1131","Betts",-0.39,-1.7,0,-2.21,-0.08
"107","Bell",-0.4,0,-3.68,-0.27,0
"585","Lowrie",-0.4,-5.45,0,1.47,0.34
"923","House",-0.4,0,-3.07,-0.91,0
"369","Parker, B",-0.4,0,-3.83,-0.18,0
"611","Morrison",-0.4,-4.05,0,0.03,1.14
"445","Happ",-0.4,-0.56,-3.35,-0.12,0
"751","Pimentel, S",-0.4,-0.33,-3.5,-0.2,0
"1028","Holmberg",-0.41,0,-4.09,-0.01,0
"569","Wood, T",-0.41,7.16,-11.78,0.49,0.25
"948","Roach",-0.41,-0.11,-4.28,0.25,0.01
"385","Ellis, A",-0.42,-4.55,0,0.36,-0.19
"428","De Aza",-0.42,-3.3,0,-0.91,-2.16
"945","Pettibone",-0.42,0.03,-3.98,-0.28,0
"642","Colabello",-0.42,-1.66,0,-2.58,0.06
"922","Hosmer",-0.42,-6.63,0,2.39,2.22
"918","Herrmann, C",-0.43,-5.33,0,1.07,-0.21
"13","Gonzalez, Al",-0.43,-2.64,0,-1.63,-0.55
"536","Ogando",-0.43,0,-4.02,-0.25,0
"331","Gallardo",-0.43,-0.82,-3.12,-0.37,-0.09
"156","Belisario",-0.43,0,-3.99,-0.32,0
"520","Ciriaco",-0.43,-4.13,0,-0.22,0.21
"337","Flowers",-0.43,-2.98,0,-1.36,-1.05
"615","Romo",-0.43,0,-4.49,0.15,0
"116","Capuano",-0.44,0,-4.53,0.17,0
"425","Romak",-0.44,-4.4,0,0.04,-0.99
"252","Escobar, A",-0.44,-1.56,0,-2.8,3.81
"759","Aumont",-0.44,0,-4.36,-0.01,0
"509","Conrad",-0.44,-3.47,0,-0.91,0.34
"348","Cabrera, A",-0.44,-5.07,0,0.67,-0.12
"565","Carter",-0.44,-4.25,0,-0.16,-3.45
"413","Stewart, I",-0.44,-4.26,0,-0.17,0.31
"951","Rosenberg",-0.44,0,-4.47,0.03,0
"950","Robertson",-0.44,-2.19,0,-2.25,-0.51
"914","Hand, B",-0.45,-0.23,-3.79,-0.45,-0.07
"242","Roberts, R",-0.45,-3.52,0,-0.96,-0.08
"848","Cleto",-0.45,0,-4.33,-0.17,0
"83","Francisco, F",-0.45,0,-4.47,-0.04,0
"649","Pinto",-0.45,-4.87,0,0.36,-1.41
"627","Caminero",-0.46,0,-4.65,0.07,0
"551","Zeid",-0.46,-0.19,-4.19,-0.2,0
"624","Gomez, J",-0.46,0.47,-5.43,0.36,-0.01
"517","Mujica",-0.46,0,-4.83,0.21,0
"406","Denorfia",-0.46,-8.15,0,3.52,2.19
"426","Jurrjens",-0.46,-0.27,-4.14,-0.23,-0.26
"672","Minor",-0.46,0.59,-5.33,0.11,0.09
"1147","Ramirez, J",-0.46,-4.73,0,0.09,-0.41
"726","Peacock",-0.47,-0.56,-3.5,-0.6,0
"405","Castillo, W",-0.47,-4.19,0,-0.53,-0.66
"802","Mastroianni",-0.47,-6.6,0,1.87,0.32
"460","Slowey",-0.47,-0.68,-3.97,-0.09,0
"1057","Butler, K",-0.48,0,-4.72,-0.04,0
"1139","Montero",-0.48,-0.51,-3.89,-0.36,0.01
"446","Daley",-0.48,0,-4.94,0.15,0
"149","Kubel",-0.48,-3.53,0,-1.28,-0.62
"78","Ellis, M",-0.48,-6.18,0,1.37,1.91
"919","Hicks",-0.48,-2.4,0,-2.44,-1.25
"1084","Cumpton",-0.49,-0.72,-4.06,-0.09,0.37
"607","Gosewisch",-0.49,-4.68,0,-0.2,-0.55
"561","Wagner",-0.49,0,-5.2,0.26,0
"977","den Dekker",-0.5,-4.21,0,-0.76,0.48
"46","Nady",-0.5,-4.99,0,0.01,0.61
"254","Jay",-0.5,-5.49,0,0.47,-0.52
"92","Nieves",-0.5,-4.71,0,-0.32,-0.56
"54","Punto",-0.5,-5.29,0,0.24,-1.59
"1051","Zunino",-0.51,-5.1,0,0.03,-0.07
"112","Barmes",-0.51,-5.22,0,0.13,-0.33
"1074","Straily",-0.51,0,-5.21,0.09,0
"697","Cobb",-0.52,-0.26,-4.28,-0.61,0
"1035","Mikolas",-0.52,0,-5.06,-0.1,0
"3","Giambi",-0.52,-5.17,0,0,0.11
"584","Parmelee",-0.52,-5.77,0,0.6,-1.48
"141","Santana, E",-0.52,-1.54,-4.18,0.49,-0.33
"21","Wolf",-0.52,0.1,-5.21,-0.13,0
"284","Lopez, W",-0.53,0,-5.34,0.05,0
"671","Snider",-0.53,-4.71,-1.37,0.76,0.22
"998","Bergman",-0.53,-0.04,-4.88,-0.4,-0.17
"594","Barnes, B",-0.53,-4.97,0,-0.35,-1.07
"912","Grossman",-0.53,-0.3,0,-5.03,-1.29
"1083","Castellanos, N",-0.53,-2.87,0,-2.48,-3.95
"529","Herrera",-0.54,-5.75,0,0.4,-0.39
"230","McCarthy",-0.54,0.23,-6.01,0.43,-0.14
"693","Valencia, D",-0.54,-3.27,0,-2.1,-1.08
"711","Carpenter, D",-0.54,0,-4.66,-0.73,0
"655","Avilan",-0.54,-0.01,-5.83,0.43,0
"884","Bass",-0.54,0,-5.14,-0.28,0
"725","Figueroa, C",-0.55,-3.42,0,-2.05,-0.75
"76","Johnson, R",-0.55,-2.7,0,-2.77,-1.13
"965","Tonkin",-0.55,0,-5.87,0.4,0
"646","Rojas, M",-0.55,-6.24,0,0.76,0.82
"249","Breslow",-0.55,0,-5.41,-0.07,0
"931","Lombardozzi",-0.55,-4.59,0,-0.91,-1.22
"10","Wright, J",-0.55,-0.15,-5.5,0.13,0
"744","Segura",-0.55,-2.52,0,-3,2.84
"833","Sogard",-0.56,-8.39,0,2.84,-0.52
"77","Valverde",-0.56,0,-4.59,-0.96,0
"75","Bedard",-0.56,0,-5.36,-0.2,0
"601","Castro, Ja",-0.56,-5.15,0,-0.45,-1.62
"1135","Johnson, E",-0.56,-0.5,-5.37,0.24,0
"927","Koehler",-0.57,-2.71,-2.32,-0.64,0
"1126","Sardinas",-0.57,-2.05,0,-3.64,1.19
"736","Leon, S",-0.57,-5.53,0,-0.17,-0.18
"398","Markakis",-0.57,-4.95,0,-0.77,-3.4
"1019","Cingrani",-0.57,-0.94,-4.46,-0.32,-0.09
"658","Rosario, W",-0.57,-5.33,0,-0.41,-3.12
"233","Schumaker",-0.58,-2.15,0,-3.6,-1.06
"691","Brown, D",-0.58,-2.98,0,-2.8,0.74
"545","Gonzalez, C",-0.58,-3.58,0,-2.23,-0.78
"541","Aceves, A",-0.58,0,-5.79,-0.03,0
"93","Phillips",-0.58,-4.48,0,-1.34,-1.19
"1036","Miller, S",-0.59,0.75,-6.01,-0.61,-0.12
"324","Matusz",-0.59,0,-6.15,0.27,0
"485","Gomes, B",-0.59,0,-5.94,0.06,0
"978","Lyons",-0.59,0.18,-5.73,-0.35,-0.37
"898","DeSclafani",-0.59,1.37,-6.59,-0.69,0.01
"43","Vogelsong",-0.59,0.87,-7.11,0.3,-0.26
"534","Tabata",-0.6,-3.87,0,-2.09,-0.27
"420","Frieri",-0.6,0,-5.67,-0.3,0
"550","Garcia, Lu",-0.6,0,-5.64,-0.33,0
"240","Frandsen",-0.6,-7.62,0,1.61,0.54
"1091","Mariot",-0.61,0,-5.55,-0.5,0
"311","Volquez",-0.61,-1.38,-4.61,-0.09,-0.34
"403","Gonzalez, M",-0.61,-0.83,-4.36,-0.91,0
"661","Harris",-0.61,0,-6.18,0.07,0
"602","Coleman, L",-0.61,0,-6.07,-0.05,0
"326","Hayes",-0.61,-6.84,0,0.7,0.19
"539","Rogers, E",-0.61,-0.09,-5.66,-0.4,0
"441","Schafer, J",-0.62,-4.96,0,-1.2,1.7
"120","Mathis",-0.62,-5.52,0,-0.65,-0.81
"768","Collmenter",-0.62,-2.35,-3.33,-0.5,-0.08
"851","Forsythe",-0.62,-9.13,0,2.93,-0.03
"360","Robinson, S",-0.62,-5.05,0,-1.15,0.48
"231","McCann",-0.63,-4.93,0,-1.33,-3.57
"39","Belisle",-0.63,0,-6.73,0.46,0
"341","Maxwell",-0.63,-2.93,0,-3.37,0.81
"258","Marshall, S",-0.63,0,-7.03,0.71,0
"197","Liriano, F",-0.63,-0.62,-6.06,0.33,-0.05
"57","Suzuki, I",-0.64,-7.95,0,1.6,0.44
"495","Marmol",-0.64,0,-6.33,-0.04,0
"721","Schafer, L",-0.64,-4.63,0,-1.77,0.36
"983","Grichuk",-0.64,-4.5,0,-1.91,0.25
"219","Morales, K",-0.64,-6.37,0,-0.05,-2.08
"630","Kawasaki",-0.64,-4.4,0,-2.02,-2.05
"62","Roberts, B",-0.64,-2.99,0,-3.45,-0.66
"921","Hoover",-0.65,0.61,-6.73,-0.35,0.17
"774","Descalso",-0.65,-6.89,0.1,0.31,0.19
